Ano Término Fiscalização;Mês Término Fiscalização;CNPJ Estabelecimento;Nome Empregador;Logradouro Local Fiscalizado;;;Município Local Fiscalizado;UF Local Fiscalizado
2009;2009/11;07.694.817/0001-56;A & A APARECIDA COMERCIO DECONFEC LTDA;RUA ATELEGRAFISTA ADOLFO COELHO, 1492;88960-000;SAO LUIZ;Sombrio;Santa Catarina
2009;2009/11;00.063.401/0001-90;A & A ASSOCIADOS FOMENTO COMERCIAL LTDA;AV.OSMAR CUNHA SL.801 BL.C,183;88015-100;CENTRO;Florianópolis;Santa Catarina
2011;2011/03;12.377.145/0001-95;A & M CAFETERIA LTDA ME;AV DEPUTADO DIOMICIO FREITAS, 3393 - AEROPORTO;88047-900;CARIANOS;Florianópolis;Santa Catarina
2009;2009/09;07.551.850/0001-27;A & M PRESTACAO DE SERVICOS HIDRAULICOS LTDA;OBRA: AV RIO BRANCO SN;88015-201;CENTRO;Florianópolis;Santa Catarina
2009;2009/10;07.551.850/0001-27;A & M PRESTAÇÃO DE SERVIÇOS HIDRAULICOS LTDA;RODOVIA ANTONIO VIEIRA SN;88034-101;ITACORUBI;Florianópolis;Santa Catarina
2009;2009/08;00.995.846/0001-09;A & R COMERCIAL DE ALIMENTOS LTDA;RUA URUGUAI, 458 (ANEXO A UNIVALI);88302-202;CENTRO;Itajaí;Santa Catarina
2010;2010/05;07.751.867/0001-28;A A A DE OLIVEIRA E CIA LTDA;AVEN GETULIO VARGAS,167;89801-000;CENTRO;Chapecó;Santa Catarina
2009;2009/05;04.626.226/0001-53;A ABC DESENTUPIDORA FORTALEZA LTDA - ME;RUA BOTAFOGO, 259;89210-050;FLORESTA;Joinville;Santa Catarina
2009;2009/04;81.622.417/0001-98;A ACORREA ESCAVACOES E TRANSPORTE LTDA;RODOVIA BR 101, KM 334;88700-000;HUMAITA;Tubarão;Santa Catarina
2008;2008/09;83.646.984/0009-67;A ANGELONI & CIA LTDA; AV CENTENARIO;88801-000;CENTRO;Criciúma;Santa Catarina
2008;2008/06;83.646.984/0009-67;A ANGELONI & CIA LTDA;AV CENTENARIO, 2699;88800-000;CENTRO;Criciúma;Santa Catarina
2008;2008/06;83.646.984/0017-77;A ANGELONI & CIA LTDA;AV CENTENARIO, 7521;88800-000;N.S. SALETE;Criciúma;Santa Catarina
2009;2009/05;83.646.984/0008-86;A ANGELONI & CIA LTDA;AV EXP JOSE PEDRO COELHO, 1120;88700-000;CENTRO;Tubarão;Santa Catarina
2008;2008/08;83.646.984/0018-58;A ANGELONI & CIA LTDA;AV IRINEU BORNHAUSEN 5288;88025-202;CENTRO;Florianópolis;Santa Catarina
2008;2008/09;83.646.984/0069-06;A ANGELONI & CIA LTDA;BR 101 KM 156,5;88210-000;ALTO PEREQUE;Porto Belo;Santa Catarina
2008;2008/09;83.646.984/0069-06;A ANGELONI & CIA LTDA;BR 101 KM 156,5;88210-000;ALTO PEREQUE;Porto Belo;Santa Catarina
2008;2008/09;83.646.984/0014-24;A ANGELONI & CIA LTDA;ESTEVES JUNIOR,_307;88085-001;CENTRO;Florianópolis;Santa Catarina
